Symbol	C-type lectin receptor signaling pathway	Cytokine-cytokine receptor interaction	Cytosolic DNA-sensing pathway	Estrogen signaling pathway	IL-17 signaling pathway	NF-kappa B signaling pathway	NOD-like receptor signaling pathway	Osteoclast differentiation	Regulation of actin cytoskeleton	RIG-I-like receptor signaling pathway	T cell receptor signaling pathway	Th17 cell differentiation	TNF signaling pathway	Toll-like receptor signaling pathway	Viral protein interaction with cytokine and cytokine receptor	sum	pathway	CFTR_interactor	dorothea_tf	receptor_ligand	receptor	Node_type
ACTN4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	FALSE	End point - Regulation of actin cytoskeleton
ADCY1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	Estrogen signaling pathway	NA	FALSE	FALSE	FALSE	Protein
ADORA2B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	FALSE	TRUE	Receptor
AIM2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	NA	NA	FALSE	FALSE	FALSE	Protein
AKT3	1	0	0	1	0	0	0	1	0	0	1	0	1	1	0	6	NA	NA	FALSE	FALSE	FALSE	Protein
APC2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	FALSE	Protein
ARAF	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	FALSE	Protein
ARHGAP35	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	FALSE	Protein
ARHGEF12	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	NA	NA	FALSE	FALSE	FALSE	Protein
ARHGEF6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	FALSE	Protein
ARHGEF7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	FALSE	Protein
ARPC5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	FALSE	End point - Regulation of actin cytoskeleton
ATG12	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE	Protein
ATG16L1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE	Protein
ATG5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE	Protein
BAG4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	TNF signaling pathway	NA	FALSE	FALSE	FALSE	Protein
BAIAP2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	FALSE	Protein
BCL10	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	NA	NA	FALSE	FALSE	FALSE	Protein
BCL2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE	Protein
BCL2L1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE	Protein
BCL3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	C-type lectin receptor signaling pathway	NA	FALSE	FALSE	FALSE	Protein
BIRC2	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	3	NA	NA	FALSE	FALSE	FALSE	Protein
