"C-type lectin receptor signaling pathway","CFTR_interactor","Cytokine-cytokine receptor interaction","Cytosolic DNA-sensing pathway","dorothea_tf","Estrogen signaling pathway","IL-17 signaling pathway","name","NF-kappa B signaling pathway","NOD-like receptor signaling pathway","Node_type","Osteoclast differentiation","pathway","receptor","receptor_ligand","Regulation of actin cytoskeleton","RIG-I-like receptor signaling pathway","selected","shared name","sum","T cell receptor signaling pathway","Th17 cell differentiation","TNF signaling pathway","Toll-like receptor signaling pathway","Viral protein interaction with cytokine and cytokine receptor"
"0","NA","0","0","false","0","0","MAP3K8","0","0","Protein","0","NA","false","false","0","0","false","MAP3K8","3","1","0","1","1","0"
"1","NA","0","0","false","0","0","MAP3K14","1","0","Protein","1","NA","false","false","0","0","false","MAP3K14","5","1","0","1","0","0"
"1","NA","0","0","true","0","0","IRF9","0","1","End point - TF","1","NA","false","false","0","0","false","IRF9","3","0","0","0","0","0"
"0","NA","0","0","false","0","0","TIAM1","0","0","Protein","0","Regulation of actin cytoskeleton","false","false","1","0","false","TIAM1","1","0","0","0","0","0"
"0","NA","0","0","false","0","0","DLG1","0","0","Protein","0","T cell receptor signaling pathway","false","false","0","0","false","DLG1","1","1","0","0","0","0"
"1","NA","0","0","false","0","1","MAPK14","0","1","Protein","1","NA","false","false","0","1","false","MAPK14","9","1","1","1","1","0"
"0","NA","0","0","false","0","0","BTK","1","0","Protein","1","NA","false","false","0","0","false","BTK","2","0","0","0","0","0"
"0","NA","0","0","false","0","0","BLNK","0","0","Protein","1","Osteoclast differentiation","false","false","0","0","false","BLNK","1","0","0","0","0","0"
"1","NA","0","0","false","0","0","CARD9","0","1","Protein","0","NA","false","false","0","0","false","CARD9","2","0","0","0","0","0"
"0","NA","0","0","false","0","0","NAMPT","0","1","Protein","0","NOD-like receptor signaling pathway","false","false","0","0","false","NAMPT","1","0","0","0","0","0"
"0","NA","0","0","false","0","0","ITCH","0","0","Protein","0","TNF signaling pathway","false","false","0","0","false","ITCH","1","0","0","1","0","0"
"0","NA","0","0","false","0","0","BRCC3","0","1","Protein","0","NOD-like receptor signaling pathway","false","false","0","0","false","BRCC3","1","0","0","0","0","0"
"0","NA","1","0","false","0","0","CXCL12","0","0","Receptor Ligand","0","NA","false","true","1","0","false","CXCL12","3","0","0","0","0","1"
"0","NA","1","0","false","0","0","CXCR4","0","0","Receptor","0","NA","true","false","1","0","false","CXCR4","2","0","0","0","0","0"
"1","NA","0","0","false","0","0","MAPKAPK2","0","0","Protein","0","C-type lectin receptor signaling pathway","false","false","0","0","false","MAPKAPK2","1","0","0","0","0","0"
