interaction_id	effect	arrow	genesymbol_source	uniprot_source	genesymbol_target	uniprot_target	C-type lectin receptor signaling pathway	Cytokine-cytokine receptor interaction	Cytosolic DNA-sensing pathway	Estrogen signaling pathway	IL-17 signaling pathway	NF-kappa B signaling pathway	NOD-like receptor signaling pathway	Osteoclast differentiation	Regulation of actin cytoskeleton	RIG-I-like receptor signaling pathway	T cell receptor signaling pathway	Th17 cell differentiation	TNF signaling pathway	Toll-like receptor signaling pathway	Viral protein interaction with cytokine and cytokine receptor	sum.interaction	pathway.interaction	reference	CyFi_MAP_interactions	status	expression_dorothea
NA_Q05655_compound - 15	compound - 15	15	PLCB3	NA	PRKCD	Q05655	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	Estrogen signaling pathway	KEGG	FALSE	NA	FALSE
NA_Q14643_compound - 16	compound - 16	16	PLCB3	NA	ITPR1	Q14643	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	NA	KEGG	FALSE	NA	FALSE
O00206_Q86XR7_activation	activation	-->	TLR4	O00206	TICAM2	Q86XR7	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	Toll-like receptor signaling pathway	KEGG	FALSE	NA	FALSE
O00206_Q8IUC6_activation	activation	-->	TLR4	O00206	TICAM1	Q8IUC6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	KEGG	FALSE	NA	FALSE
O00206_Q99836_activation	activation	-->	TLR4	O00206	MYD88	Q99836	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	NA	KEGG	FALSE	NA	FALSE
O00401_O15511_activation	activation	-->	WASL	O00401	ARPC5	O15511	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	KEGG	FALSE	NA	FALSE
O00571_Q9UHD2_binding/association	binding/association	---	DDX3X	O00571	TBK1	Q9UHD2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	RIG-I-like receptor signaling pathway	KEGG	FALSE	NA	FALSE
O14733_P45983_activation	activation	-->	MAP2K7	O14733	MAPK8	P45983	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	NA	KEGG	FALSE	NA	FALSE
O14788_Q9Y6Q6_activation	activation	-->	TNFSF11	O14788	TNFRSF11A	Q9Y6Q6	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	3	NA	KEGG	FALSE	NA	FALSE
O14862_Q9ULZ3_binding/association	binding/association	---	AIM2	O14862	PYCARD	Q9ULZ3	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	NA	KEGG	FALSE	NA	FALSE
O14920_P19838_activation	activation	-->	IKBKB	O14920	NFKB1	P19838	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	NA	KEGG	FALSE	NA	FALSE
O14920_P25963_activation	activation	-->	IKBKB	O14920	NFKBIA	P25963	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	4	NA	KEGG	FALSE	NA	FALSE
O14920_Q9Y6K9_binding/association	binding/association	---	IKBKB	O14920	IKBKG	Q9Y6K9	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	3	NA	KEGG	FALSE	NA	FALSE
O14974_O14950_inhibition	inhibition	--|	PPP1R12A	O14974	MYL12B	O14950	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	KEGG	FALSE	NA	FALSE
O15111_O14920_binding/association	binding/association	---	CHUK	O15111	IKBKB	O14920	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	4	NA	KEGG	FALSE	NA	FALSE
O15111_P25963_activation	activation	-->	CHUK	O15111	NFKBIA	P25963	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	NA	KEGG	FALSE	NA	FALSE
O15111_Q00653_activation	activation	-->	CHUK	O15111	NFKB2	Q00653	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	3	NA	KEGG	FALSE	NA	FALSE
O15111_Q92985_phosphorylation	phosphorylation	+p	CHUK	O15111	IRF7	Q92985	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	Toll-like receptor signaling pathway	KEGG	FALSE	NA	FALSE
O15455_Q8IUC6_activation	activation	-->	TLR3	O15455	TICAM1	Q8IUC6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	Toll-like receptor signaling pathway	KEGG	FALSE	NA	FALSE
O15519_Q14790_inhibition	inhibition	--|	CFLAR	O15519	CASP8	Q14790	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	TNF signaling pathway	KEGG	FALSE	NA	FALSE
O15524_P23458_binding/association	binding/association	---	SOCS1	O15524	JAK1	P23458	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	Osteoclast differentiation	KEGG	FALSE	NA	FALSE
